Gauge,lon,lat,region_planicie,density_menor,density_normal,lat_scaled,lon_scaled,cluster
1655000,-55.58638763427734,-16.35611152648926,True,False,True,0.5279855627326906,0.4999703119612379,0
1655001,-55.20639038085938,-16.60805511474609,True,False,True,0.4203118568473736,0.8088502781017659,0
1655002,-55.9658317565918,-16.19222259521484,True,False,True,0.598027149049673,0.1915399572717977,0
1655003,-55.52138900756836,-16.72750091552734,True,False,True,0.3692640325643999,0.5528043086190177,0
1655004,-55.90611267089844,-16.88833427429199,True,False,True,0.3005283132393297,0.2400824901480013,0
1656001,-56.33333206176758,-16.4333324432373,True,False,True,0.4949834834352921,-0.107181890842396,0
1656003,-56.22333145141602,-16.92111206054688,True,False,True,0.2865199959759308,-0.0177681266764351,0
1656004,-56.63194274902344,-16.94416618347168,True,False,True,0.2766673028852913,-0.3499069582979273,0
1755003,-56.008056640625,-17.20138931274414,True,False,True,0.1667372675158235,0.1572175493250268,0
1757001,-57.35944366455078,-17.14277839660645,True,False,True,0.1917859484111896,-0.941254543403056,2
1757003,-57.69055557250977,-17.64138793945313,True,False,True,-0.0213059490232376,-1.2103981595718,2
1857000,-57.59999847412109,-18.63333320617676,True,False,True,-0.4452358598517494,-1.1367890131043212,1
1857003,-57.39110946655273,-18.39388847351074,True,False,True,-0.3429038183846418,-0.9669940237866572,1
1955000,-55.79222106933594,-19.94305610656738,True,False,True,-1.0049751226908834,0.3326590383148448,1
1956001,-56.71222305297852,-19.1733341217041,True,False,True,-0.6760172826241416,-0.4151626340807312,1
1956003,-56.20416641235352,-19.67805480957031,True,False,True,-0.8917209140423858,-0.0021898650878023,1
1956004,-56.08889007568359,-19.00333404541016,True,False,True,-0.6033639623233453,0.0915122620911294,1
1956008,-56.40638732910156,-19.35916709899902,True,False,True,-0.7554371459335762,-0.1665647108431737,1
1957003,-57.23527908325195,-19.25833320617676,True,False,True,-0.7123435352005746,-0.8403276253201718,1
1957004,-57.78944396972656,-19.91861152648926,True,False,True,-0.9945281867556126,-1.290779384723492,1
1957006,-57.43722152709961,-19.60055541992188,True,False,True,-0.8585998231464738,-1.0044761149656822,1
2055004,-55.6441650390625,-20.07027816772461,True,False,True,-1.0593463051049536,0.4530060703168387,1
2057000,-57.64777755737305,-20.29083251953125,True,False,True,-1.1536051214235756,-1.1756261401739183,1
2157004,-57.88527679443359,-21.69361114501953,True,False,True,-1.7531138217166875,-1.3686768942039067,1
2157006,-57.84416580200195,-21.09861183166504,True,False,True,-1.4988276082378629,-1.3352599106966083,1
1454002,-54.97277832,-14.89416695,False,False,True,1.1527801504364812,0.9987413491535296,0
1454003,-54.97805405,-14.75388908,False,False,True,1.212731023650217,0.994452983147967,0
1455008,-55.85499954,-14.84388924,False,False,True,1.1742674500204215,0.2816296908165295,0
1455010,-55.23333359,-14.77722263,False,False,True,1.2027589111731998,0.7869495473669624,0
